Depth,Source,Source_abbrev,Latitude,Longitude,Sample,Material,Rate_sa,Rate_error_sa,Organics,Device,Deployment_d,Biogenic,Year,Comments,Mesh,Rate_mass,Month,Size,Fragmentation_pct,Rate_error_mass,Temp_CDisk4,pH_CDisk4_T25,Salinity_CDisk4,TA_CDisk4,DIC_CDisk4_calc13,Oca_CDisk4_calc13,Oar_CDisk4_calc13,Omega_CDisk4_calc13
200.0,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,9.208219178082193e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
287.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,1.3808219178082192e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
350.0,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,6.446575342465753e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
412.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,0.00012432876712328766,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
487.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,4.605479452054794e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
562.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,6.446575342465753e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
625.0,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,3.684931506849315e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
700.0,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,7.367123287671233e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
775.0,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,6.906849315068493e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
837.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,0.00011972602739726028,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
912.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,6.446575342465753e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
987.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,5.0657534246575344e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
1050.0,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,6.446575342465753e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
1125.0,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,5.986301369863014e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
1187.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,8.287671232876712e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
1262.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,4.145205479452055e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
1337.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,3.684931506849315e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
1412.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,7.827397260273973e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
1475.0,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,5.986301369863014e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
1537.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,5.986301369863014e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
1612.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,0.00011052054794520548,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
1700.0,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,6.446575342465753e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
1750.0,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,0.00013813698630136986,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
1837.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,0.00014734246575342466,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
1887.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,9.208219178082193e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
1962.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,5.986301369863014e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
2037.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,0.00011052054794520548,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
2100.0,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,0.00010591780821917808,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
2175.0,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,0.00011052054794520548,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
2250.0,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,0.00012893150684931506,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
2312.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,9.208219178082193e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
2387.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,9.668493150684931e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
2462.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,8.747945205479452e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
2525.0,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,0.00011972602739726028,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
2600.0,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,0.00011512328767123288,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
2662.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,6.446575342465753e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
2737.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,6.906849315068493e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
2812.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,0.00011972602739726028,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
2875.0,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,4.145205479452055e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
2962.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,6.446575342465753e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
3025.0,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,0.00010128767123287672,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
3087.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,0.00010591780821917808,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
3162.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,5.986301369863014e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
3225.0,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,5.526027397260274e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
3300.0,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,3.684931506849315e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
3375.0,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,0.00023942465753424655,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
3450.0,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,7.827397260273973e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
3525.0,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,0.00010591780821917808,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
3587.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,0.0002026027397260274,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,
