Depth,Source,Source_abbrev,Latitude,Longitude,Sample,Material,Rate_sa,Rate_error_sa,Organics,Device,Deployment_d,Biogenic,Year,Comments,Mesh,Rate_mass,Month,Size,Fragmentation_pct,Rate_error_mass,Temp_CDisk4,pH_CDisk4_T25,Salinity_CDisk4,TA_CDisk4,DIC_CDisk4_calc13,Oca_CDisk4_calc13,Oar_CDisk4_calc13,Omega_CDisk4_calc13,Pressure,Temp_woa,Temp_SD_woa,Sal_woa,Sal_SD_woa,Doxy_woa,Doxy_SD_woa,PO4_woa,SiOH4_woa
200.0,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,9.208219178082193e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,,201.31298762572456,18.62010955810547,1.3459265232086182,34.86180114746094,0.14725343883037567,188.64117431640625,2.9385080337524414,0.45446810126304626,4.5288190841674805
287.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,1.3808219178082192e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,,289.4490936184763,12.823152947288706,1.1665760001683918,34.32829984312733,0.08744144317166191,168.63035632215804,2.7617019247285928,1.080129031293834,13.903668923559051
350.0,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,6.446575342465753e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,,352.42639489568023,10.250890731811523,0.8655807971954346,34.220088958740234,0.03276686742901802,146.2644500732422,5.337181091308594,1.5394665002822876,23.439786911010742
412.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,0.0001243287671232,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,,415.422790313224,8.57458556374549,0.5428345676021551,34.19761510555497,0.04226730902369806,115.93523227499443,8.031251309289349,1.9323621507436937,34.95993041387849
487.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,4.605479452054794e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,,491.04364121481353,7.182291864784806,0.4024960054616574,34.22600402535668,0.06616705198661171,83.62892481876342,11.716868516512626,2.410740107183332,49.312390211808555
562.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,6.446575342465753e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,,566.6919249497905,6.316021335085631,0.31485220503031386,34.28540703225369,0.0671012044510533,57.542451613836505,11.24033910036087,2.6437773589973377,59.17189732239343
625.0,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,3.684931506849315e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,,629.7530923102133,5.836035074456217,0.2569181238792649,34.34157864817181,0.04869167400001138,46.97105069633994,10.544420091508401,2.761548747689374,69.59742016563044
700.0,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,7.367123287671233e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,,705.4515805432579,5.44258975982666,0.20147475600242615,34.40279006958008,0.028841281309723854,42.712799072265625,7.459383964538574,2.9401891231536865,77.42647552490234
775.0,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,6.906849315068493e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,,781.1774044201926,5.107077379528025,0.16628071495078708,34.44732955535814,0.017897016132316697,45.70061055574901,5.238633399054523,2.9590658998584307,83.19782423200358
837.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,0.0001197260273972,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,,844.3031142497081,4.856290878612228,0.16625039232894778,34.47466310636386,0.013550242024287262,44.920430302619934,2.9255395011396934,2.9326518678629565,86.80884069148966
912.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,6.446575342465753e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,,920.0789641797337,4.580912822023195,0.1554566720450596,34.500024948492666,0.012029445738201522,50.51454593845416,3.2634906505452053,2.947035114250699,93.95352428792782
987.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,5.0657534246575344e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,,995.8820522798198,4.310230666433424,0.13567778028170485,34.51836731409308,0.009298882081687948,54.42996174586176,2.6933582462133216,2.9165754690766335,98.03936942477687
1050.0,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,6.446575342465753e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,,1059.0720744333344,4.119309902191162,0.14528536796569824,34.529911041259766,0.00920597743242979,58.73527145385742,2.5866305828094482,2.9083030223846436,104.30287170410156
1125.0,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,5.986301369863014e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,,1134.9250096362937,3.8774508716047515,0.14121403847650904,34.53996940180289,0.008978393877099335,60.57017934534255,2.7579346895217896,2.9460692405700684,110.04193391642416
1187.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,8.287671232876712e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,,1198.1565227107733,3.6876922463450192,0.12238500747838765,34.54759282053532,0.005644927065827664,63.28650726164473,2.7649811655282974,2.923802003264427,111.22159481048584
1262.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,4.145205479452055e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,,1274.0591889713507,3.4823985294178694,0.09973485120931255,34.556934362448345,0.00503210485170478,63.98962608014389,2.6996218813527437,2.96113876915388,115.9183546223598
1337.5,"Peterson, 1966",P66,18.8,-168.5,Calcite crystals,Calcite,3.684931506849315e-05,3.287671232876713e-05,False,False,125.0,False,1966.0,individual results,,,,,,,,,,,,,,,1349.9889322837882,3.280451537409866,0.09614774396061376,34.56635546285142,0.00504376976037981,69.89899700953262,2.4751611217661247,2.9630873124266417,122.46546084647325
