Station	Lat	Long	Cast_ID	Datetime_in	Datetime_out	sample_id	Niskin	Talkumolk	pHp0T25S	DICAlkpH0	Depthm	TempC	S	Oca	Oar	Rateggd	Rategcm2d	Rateerrorggd	Rateerrorgcm2d	logrategcm2d	lograteerrorgcm2d	Oca_corr	Rs
2	27.75	-155.283	FA	20170806_0549	20170807_0655	aragonite	9	2308.5	7.336	2305.3	700	5.433	34.074	0.876	0.557	3.860E-03	1.750E-07	3.540E-04	1.610E-08	-6.760	0.040	0.00	Inf
2	27.75	-155.283	FA	20170806_0549	20170807_0655	aragonite	10	2309.7	7.325	2310.4	710	5.329	34.081	0.848	0.540	4.020E-03	1.830E-07	3.500E-04	1.590E-08	-6.740	0.038	0.00	Inf
2	27.75	-155.283	HW	20170807_0800	20170807_1839	aragonite	15	2425.2	7.450	2382.1	2020	2.092	34.617	0.886	0.571	5.120E-03	2.330E-07	1.470E-03	6.690E-08	-6.630	0.125	0.00	Inf
3	35.267	-150.983	FA	20170812_1700	20170812_2016	aragonite	8	2316.3	7.255	2346.5	698.9	4.421	34.107	0.712	0.452	4.550E-03	2.070E-07	2.150E-04	9.790E-09	-6.680	0.021	0.00	Inf
3	35.267	-150.983	FA	20170812_1700	20170812_2016	aragonite	10	2332.5	7.284	2352.7	738.9	4.232	34.141	0.764	0.486	5.270E-03	2.390E-07	2.680E-04	1.220E-08	-6.620	0.022	0.00	Inf
3	35.267	-150.983	FA	20170812_1700	20170812_2016	aragonite	9	2328.8	7.286	2348.5	728.9	4.281	34.132	0.768	0.488	6.570E-03	2.990E-07	8.290E-05	3.770E-09	-6.530	0.005	0.00	Inf
3	35.267	-150.983	FA	20170812_1700	20170812_2016	aragonite	7	2309.7	7.330	2314.2	648.7	4.694	34.065	0.869	0.552	7.450E-03	3.390E-07	1.790E-04	8.120E-09	-6.470	0.010	0.00	Inf
3	35.267	-150.983	FA	20170812_1700	20170812_2016	aragonite	5	2301.9	7.385	2288.3	598.5	4.983	34.032	1.004	0.638	1.790E-03	8.110E-08	1.390E-04	6.300E-09	-7.090	0.034	0.00	Inf
3	35.267	-150.983	FA	20170812_1700	20170812_2016	aragonite	4	2301.6	7.402	2282.2	573.7	5.190	34.009	1.057	0.671	2.090E-03	9.480E-08	1.140E-04	5.200E-09	-7.020	0.024	0.00	Inf
3	35.267	-150.983	FA	20170812_1700	20170812_2016	aragonite	1	2283.8	7.470	2241.8	498.6	6.138	33.976	1.266	0.804	1.610E-03	7.300E-08	7.660E-05	3.480E-09	-7.140	0.021	0.00	Inf
4	41.716	-148.3	FA	20170816_2115	20170817_2305	aragonite	5	2294.6	7.381	2276.7	500	4.995	33.977	1.012	0.642	3.570E-03	1.620E-07	2.130E-04	9.700E-09	-6.790	0.026	0.00	Inf
4	41.716	-148.3	FA	20170816_2115	20170817_2305	aragonite	4	2286.5	7.425	2254.4	450	5.387	33.944	1.137	0.721	2.500E-03	1.140E-07	1.230E-04	5.590E-09	-6.940	0.021	0.00	Inf
4	41.716	-148.3	FA	20170816_2115	20170817_2305	aragonite	3	2282.8	7.448	2243.2	425	5.687	33.941	1.209	0.767	1.740E-03	7.930E-08	1.230E-04	5.610E-09	-7.100	0.031	0.00	Inf
4	41.716	-148.3	FA	20170816_2115	20170817_2305	aragonite	2	2276.7	7.462	2232.3	400	6.114	33.945	1.260	0.799	1.180E-03	5.380E-08	2.600E-04	1.180E-08	-7.270	0.095	0.00	Inf
4	41.716	-148.3	FA	20170816_2115	20170817_2305	aragonite	1	2271.5	7.536	2202.2	350	6.913	33.949	1.521	0.965	1.030E-03	4.680E-08	1.480E-04	6.730E-09	-7.330	0.062	0.00	Inf
5	49.683	-155.283	HW	20170822_1728	20170823_1604	aragonite	16	2258.3	7.412	2231.8	135	3.829	33.406	1.147	0.722	1.120E-03	5.100E-08	4.710E-04	2.140E-08	-7.290	0.182	0.00	Inf
5	49.683	-155.283	HW	20170822_1728	20170823_1604	aragonite	13	2238.5	7.493	2187.0	120	4.049	33.031	1.379	0.868	9.040E-04	4.110E-08	2.850E-04	1.290E-08	-7.390	0.137	0.00	Inf
5	49.683	-155.283	HW	20170822_1728	20170823_1604	aragonite	12	2227.8	7.530	2164.5	115	4.079	32.884	1.500	0.944	6.850E-04	3.110E-08	2.340E-04	1.060E-08	-7.510	0.149	0.00	Inf
5	49.683	-155.283	HW	20170822_1728	20170823_1604	aragonite	11	2219.1	7.571	2142.5	110	3.981	32.808	1.643	1.033	6.190E-04	2.810E-08	2.620E-04	1.190E-08	-7.550	0.184	0.00	Inf
