Depth,S-63,M-63,L-30,L-63,Device L-36
1668,0.27,0.23,0.03,0.06,
1668,,,,0.11,
1934,0.62,,,,
2208,0.42,0.16,0.03,,
2472,0.28,,,0.1,
2745,0.21,,0.03,,
3010,0.29,,,0.07,
3279,0.35,0.06,0.09,0.04,
3381,0.24,,,0,
3489,0.15,,,0.06,
3597,0.25,,,0.03,
3704,0.25,,,0.14,
3820,0.31,0.12,0.02,0.06,0.12
3820,0.23,,,,
3929,0.46,,,,
4037,0.41,0.17,0.12,0.06,
4145,0.37,,,0.04,
4253,0.24,,,0.09,
4468,0.7,0.2,0.17,,
4468,0.32,,,,
4576,0.45,,,0.08,
4664,0.24,,,,
4792,0.4,,,0.15,
4898,0.57,,,0.06,
4950,0.55,0.13,0.14,0.09,0.24
5059,0.33,,,0.14,
5167,0.34,0.1,0.15,0.18,
5167,0.64,,,0.21,
5272,0.69,0.32,0.17,0.14,
