Depth,S-63,M-63,L-30,L-63,Device L-36
1668,0.14,0.06,0.01,0.12,
1934,0.17,,,0.05,
2208,0.16,0.09,0.04,0.1,
2208,0.44,,,,
2472,0.17,,,0.07,
2745,0.37,0.04,0,0.04,
3010,0.15,,,0.12,
3279,0.16,0.14,0.04,0.02,
3279,,,,0.09,
3381,0.18,,,0.01,
3489,0.16,,,0.02,
3597,0.18,,,0.05,
3704,0.28,,,0.08,
3704,,,,0.03,
3820,0.1,0.08,0.03,0.03,0.06
3929,,,,0.16,
4037,0.18,0.07,0.12,0.16,
4145,0.23,,,0.07,
4253,0.21,,,,
4468,0.46,0.09,0.02,0.06,
4468,0.32,,,,
4576,0.36,,,0.24,
4664,0.29,,,0.31,
4792,0.44,,,0.04,
4898,0.28,,,,
4950,0.27,0.1,0.1,0.14,0.08
5059,0.37,,,,
5167,0.33,0.15,0.05,0.03,
5167,0.42,,,0.08,
5272,0.28,0.25,0.05,,
