Depth,S-63,M-63,L-30,L-63,Device L-36
1668,0.03,0.06,0.09,0.02,
1934,,,,,
2208,,,0.02,,
2208,,,0.06,0.06,
2472,,,,,
2745,0.11,0.05,0.04,0.03,
3010,,,,,
3279,,,0.04,0.04,
3381,,,,,
3489,,,,,
3597,,,0.18,0.04,
3704,,,,,
3820,,,0.08,,
3820,0.04,0.02,0.07,0.09,0.1
3929,,,,,
4037,,,0.05,0.07,
4145,,,,,
4253,,,,,
4468,0.01,,,,
4468,0.06,0.15,,0.09,
4576,,,,,
4664,,,,,
4792,,,0.11,0.13,
4898,,,,,
4950,,,,0.15,
4950,0.1,0.12,0.1,0.23,0.47
5059,,,,,
5167,0.34,0.26,0.12,0.28,
5167,,,,,
5272,0.38,0.34,0.31,0.41,
