Depth,S-63,M-63,L-30,L-63,Device L-36
1668,,,0.17,,
1668,0.26,0.27,0.05,0.22,
1934,,,,0.22,
2208,0.15,0.15,0.17,0.18,
2472,,,,,
2745,0.05,,,,
2745,0.15,0.12,0.12,0.21,
3010,,,,0.2,
3279,0.14,0.19,0.19,0.23,
3381,,,,0.2,
3489,,,,0.09,
3597,0.19,,0.2,0.23,
3704,,,,0.28,
3820,0.1,0.14,0.1,0.07,0.58
3929,,,,0.19,
4037,,0.24,,,
4037,0.31,0.32,0.3,0.26,
4145,,,,0.38,
4253,,,,0.39,
4468,0.28,0.46,0.33,0.38,
4576,,,,0.54,
4664,,,,0.6,
4792,0.42,,,,
4792,0.66,,0.58,0.58,
4898,,,,0.46,
4950,,,,0.3,
4950,0.27,0.43,0.4,0.38,2.08
5059,,,,0.6,
5167,,,0.51,,
5167,1.01,0.76,0.61,0.88,
5167,,,,1.16,
5272,,1.06,,,
5272,1.2,0.72,0.81,1.12,
