Depth,S-63,M-63,L-30,L-63,Device L-36
1668,0.02,0.15,0.08,0.12,
1934,,,,,
2208,,,0.06,0.05,
2472,,,,,
2745,0.05,0.05,0.04,0.04,
3010,,,,,
3279,,,0.04,,
3279,,,0.01,0,
3381,,,,,
3489,,,,,
3597,,,0.04,0.11,
3704,,,,,
3820,,,,0.06,
3820,0.06,0.01,0.06,0.04,0.18
3929,,,,,
4037,,,0.13,0.1,
4145,,,,,
4253,,,,,
4468,,0.09,,,
4468,0.62,0.14,0.05,0.1,
4576,,,,,
4664,,,,,
4792,,,0.22,0.23,
4898,,,,,
4950,,,,0.2,
4950,0.27,0.14,0.16,0.16,0.8
5059,,,,,
5167,,0.37,0.22,0.45,
5167,,,,,
5272,,,0.4,,
5272,1.62,0.52,0.3,0.42,
