Depth,Rate Frac1,Rate Frac2,Rate Frac3,Rate Frac4,Rate Frac5,Fragments Frac3,Fragments Frac5
800,nan,nan,nan,50.1,nan,nan,nan
1520,nan,41.3,68.4,72.6,83.8,56.3,22.3
2243,4.2,11.9,35.2,47.2,69.8,30.3,27.5
2501,5.5,17.4,24.7,nan,45.1,40.3,20.2
2950,nan,11.6,28.6,nan,55.4,39.5,30.4
3127,2.1,17.2,40.9,31.3,42.7,55.3,28.2
3304,4.9,15.3,33.9,32.4,47.9,40.3,29.5
3481,4,28.8,74.6,96.2,55.2,77.4,28.7
3659,2.8,17,30.1,42.6,22.9,51.8,31.4
3787,9.8,15.1,58.3,59.8,60.8,52,22.7
3915,15.7,30.4,49.5,41.7,36.8,62.3,46.3
4042,14.5,31.6,70.9,69.9,33,68.3,31.5
4170,15.6,36.4,nan,95.4,61,nan,32.4
4294,12.6,19.5,60.8,24.6,42.2,87,29.9
4419,13.4,50.5,50.7,35.3,65.7,78,27.3
4475,17.8,49.2,69.1,72.4,75,68.9,29.9
