Rate,Depth
0.03361,200.00000
0.00504,287.50000
0.02353,350.00000
0.04538,412.50000
0.01681,487.50000
0.02353,562.50000
0.01345,625.00000
0.02689,700.00000
0.02521,775.00000
0.04370,837.50000
0.02353,912.50000
0.01849,987.50000
0.02353,1050.00000
0.02185,1125.00000
0.03025,1187.50000
0.01513,1262.50000
0.01345,1337.50000
0.02857,1412.50000
0.02185,1475.00000
0.02185,1537.50000
0.04034,1612.50000
0.02353,1700.00000
0.05042,1750.00000
0.05378,1837.50000
0.03361,1887.50000
0.02185,1962.50000
0.04034,2037.50000
0.03866,2100.00000
0.04034,2175.00000
0.04706,2250.00000
0.03361,2312.50000
0.03529,2387.50000
0.03193,2462.50000
0.04370,2525.00000
0.04202,2600.00000
0.02353,2662.50000
0.02521,2737.50000
0.04370,2812.50000
0.01513,2875.00000
0.02353,2962.50000
0.03697,3025.00000
0.03866,3087.50000
0.02185,3162.50000
0.02017,3225.00000
0.01345,3300.00000
0.08739,3375.00000
0.02857,3450.00000
0.03866,3525.00000
0.07395,3587.50000
0.06387,3662.50000
0.06891,3725.00000
0.03025,3812.50000
0.13950,3875.00000
0.15462,3950.00000
0.17815,4012.50000
0.14622,4087.50000
0.08067,4162.50000
0.33445,4225.00000
0.37311,4300.00000
0.10588,4362.50000
0.16975,4437.50000
0.18319,4500.00000
0.74286,4562.50000
0.15798,4650.00000
0.09916,4712.50000
0.24706,4787.50000
0.49916,4850.00000
0.19496,4925.00000
0.44202,4987.50000
